 r,pw,pg,C,sg,R^2/t
567.599976,12000000.000003342,12000050.000003342,0.15000000000000022,2.3575251415125065E-002,35.796635416666668
605.099976,12000000.000000464,12000050.000000464,0.15000000000000002,2.3575251415125065E-002,40.682885416666664
643.799988,12000000.000000091,12000050.000000091,0.14999999999999999,2.3575251415125065E-002,46.053159722222219
683.700012,12000000.000000034,12000050.000000034,0.14999999999999999,2.3575251415125065E-002,51.938413194444443
724.799988,12000000.000000011,12000050.000000011,0.14999999999999999,2.3575251415125065E-002,58.370555555555555
767.099976,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,65.382486111111106
810.599976,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,73.008034722222220
855.299988,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,81.282006944444447
901.200012,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,90.240159722222216
948.299988,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,99.919208333333330
996.599976,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,110.35683333333333
1046.59998,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,121.70794444444445
1103.59998,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,135.32587500000000
1167.59998,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,151.47663888888889
1238.59998,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,170.45887500000001
1316.59998,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,192.60394444444444
1401.59998,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,218.27583333333334
1493.59998,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,247.87122222222223
1592.59998,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,281.81941666666665
1698.59998,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,320.58244444444443
1811.59998,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,364.65494444444442
1931.59998,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,414.56427777777776
2058.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,470.87049999999999
2192.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,534.16611111111115
2333.60010,12000000.000000000,12000050.000000000,0.14999999999999999,2.3575251415125065E-002,605.07661111111111
